,Date,Time,City,State,Shape,Duration
139,2/5/15,19:30:00,Loveland,CO,Light,5
140,2/5/15,19:17:00,Lock Haven,PA,Light,5
141,2/5/15,14:33:00,Encino,CA,Changing,18
142,2/5/15,13:45:00,Santa Ana,CA,Diamond,45
143,2/5/15,9:30:00,Hotchkiss,CO,Circle,5
144,2/5/15,7:17:00,Parma,OH,Triangle,
145,2/5/15,6:43:00,Farmington,UT,Circle,<1
146,2/5/15,5:15:00,Dupo,IL,Other,5
147,2/5/15,0:40:00,Santa Barbara,CA,Light,5
148,2/5/15,0:40:00,Detroit,MI,Disk,30
149,2/4/15,21:00:00,Las Vegas,NV,Fireball,<1
150,2/4/15,21:00:00,Winter Garden,FL,Flash,<1
151,2/4/15,20:30:00,Las Vegas,NV,Light,<1
152,2/4/15,19:00:00,Tucson,AZ,Other,15
153,2/4/15,18:35:00,Englewood,FL,Light,<1
154,2/4/15,17:30:00,Reno,NV,Disk,1
155,2/4/15,17:00:00,McMinnville,TN,Light,10
156,2/4/15,11:39:00,Gilbert,AZ,,<1
157,2/4/15,17:30:00,West Babylon,NY,Unknown,2
158,2/3/15,23:38:00,Virginia Beach,VA,Other,20
159,2/3/15,22:18:00,Goodyear,AZ,Rectangle,5
160,2/3/15,21:25:00,Buckeye,AZ,,10
161,2/3/15,21:16:00,Goodyear,AZ,,4
162,2/3/15,21:00:00,Wendell,NC,Sphere,10
163,2/3/15,21:00:00,Chesterfield Matoaca,VA,Rectangle,1
164,2/3/15,21:00:00,San Jose,CA,Teardrop,<1
165,2/3/15,20:15:00,Peoria,AZ,Triangle,5
166,2/3/15,20:00:00,Burnside,KY,Other,
167,2/3/15,18:00:00,Costa Mesa,CA,Light,<1
168,2/3/15,17:30:00,Cedar Rapids,IA,Light,5
169,2/3/15,16:30:00,Nashville,TN,Unknown,5
170,2/3/15,9:30:00,Anderson,CA,Light,<1
171,2/3/15,9:25:00,Waddell,AZ,Light,5
172,2/3/15,7:00:00,Inwood,WV,Triangle,35
173,2/3/15,6:45:00,Atlanta,GA,Triangle,
174,2/2/15,23:40:00,Milford,UT,Light,10
175,2/2/15,23:35:00,Boscawen,NH,Circle,<1
176,2/2/15,21:15:00,Woodstock,GA,Light,8
177,2/2/15,20:00:00,Melbourne,FL,Circle,5
178,2/2/15,18:45:00,"Jackson Heights (NYC, Queens)",NY,Light,<1
179,2/2/15,18:30:00,Columbia,SC,Teardrop,120
180,2/2/15,12:05:00,Solromar,CA,Other,11
181,2/2/15,2:00:00,Albuquerque,NM,Triangle,<1
182,2/2/15,0:40:00,Fairview,ID,Cylinder,7
183,2/2/15,0:35:00,Escanaba,MI,Light,3
184,2/1/15,21:00:00,Encinitas Carlsbad,CA,Triangle,4
185,2/1/15,21:00:00,San Jose,CA,Fireball,30
186,2/1/15,20:30:00,San Jose,CA,Sphere,30
187,2/1/15,20:00:00,Stormville,NY,Triangle,5
188,2/1/15,19:40:00,Tempe,AZ,Triangle,2
189,2/1/15,18:45:00,West Valley City,UT,Fireball,5
190,2/1/15,18:25:00,Frisco,TX,Light,<1
191,2/1/15,18:00:00,Oklahoma City,OK,Disk,60
192,2/1/15,17:00:00,Marana,AZ,Other,10
193,2/1/15,11:05:00,West Covina,CA,Oval,30
194,2/1/15,8:00:00,Fountain Hills,AZ,Light,
195,2/1/15,0:30:00,Plantation,FL,Circle,5
196,2/1/15,0:30:00,Plantation,FL,Circle,5
